name,time_value,value,stderr,issue,lag
"Bloomington, IN",2020-06-25,0.45987736359949,0.1459322921241,NA,NA
"Bloomington, IN",2020-06-26,0.51009163299292,0.11263314312904,NA,NA
"Bloomington, IN",2020-06-27,0.38658430742288,0.092654943315965,NA,NA
"Bloomington, IN",2020-06-28,0.35514356540203,0.078480409850734,NA,NA
"Bloomington, IN",2020-06-29,0.36512450040793,0.086059384692367,NA,NA
"Bloomington, IN",2020-06-30,0.36512450040793,0.086059384692367,NA,NA
"Cincinnati, OH-KY-IN",2020-04-15,0.91557302469869,0.063636310556495,NA,NA
"Cincinnati, OH-KY-IN",2020-04-16,0.98048516416399,0.046659751313851,NA,NA
"Cincinnati, OH-KY-IN",2020-04-17,0.93073663814347,0.057845057906538,NA,NA
"Cincinnati, OH-KY-IN",2020-04-18,0.94063417734434,0.04687552113491,NA,NA
"Cincinnati, OH-KY-IN",2020-04-19,0.82975252524436,0.050054465134344,NA,NA
"Cincinnati, OH-KY-IN",2020-04-20,0.84015998574696,0.048340735230599,NA,NA
"Cincinnati, OH-KY-IN",2020-04-21,0.82476624632049,0.062440409347298,NA,NA
"Cincinnati, OH-KY-IN",2020-04-22,0.72532923144591,0.060161734101108,NA,NA
"Cincinnati, OH-KY-IN",2020-04-23,0.69874219847678,0.053362798975387,NA,NA
"Cincinnati, OH-KY-IN",2020-04-24,0.66663775862152,0.042002737732826,NA,NA
"Cincinnati, OH-KY-IN",2020-04-25,0.63027105777993,0.047072068161026,NA,NA
"Cincinnati, OH-KY-IN",2020-04-26,0.64671203838522,0.054133810414563,NA,NA
"Cincinnati, OH-KY-IN",2020-04-27,0.59060991190316,0.049582598931646,NA,NA
"Cincinnati, OH-KY-IN",2020-04-28,0.5918036689927,0.036910882917782,NA,NA
"Cincinnati, OH-KY-IN",2020-04-29,0.58371697613543,0.036088026411709,NA,NA
"Cincinnati, OH-KY-IN",2020-04-30,0.58845056847305,0.032953941443769,NA,NA
"Cincinnati, OH-KY-IN",2020-05-01,0.60024872446289,0.035242736709076,NA,NA
"Cincinnati, OH-KY-IN",2020-05-02,0.61070720780807,0.029759760909008,NA,NA
"Cincinnati, OH-KY-IN",2020-05-03,0.61222563750419,0.046516574101121,NA,NA
"Cincinnati, OH-KY-IN",2020-05-04,0.59346455392095,0.044040971683855,NA,NA
"Cincinnati, OH-KY-IN",2020-05-05,0.60510686140901,0.031913579931854,NA,NA
"Cincinnati, OH-KY-IN",2020-05-06,0.66373381283445,0.027784361875534,NA,NA
"Cincinnati, OH-KY-IN",2020-05-07,0.68908392012684,0.033857197325121,NA,NA
"Cincinnati, OH-KY-IN",2020-05-08,0.71390722530395,0.030269538356165,NA,NA
"Cincinnati, OH-KY-IN",2020-05-09,0.67568275072441,0.028498133428618,NA,NA
"Cincinnati, OH-KY-IN",2020-05-10,0.64006592694533,0.039116571839925,NA,NA
"Cincinnati, OH-KY-IN",2020-05-11,0.68019155872899,0.04531775332248,NA,NA
"Cincinnati, OH-KY-IN",2020-05-12,0.78098588945539,0.026575415772628,NA,NA
"Cincinnati, OH-KY-IN",2020-05-13,0.79957823819233,0.03581814859531,NA,NA
"Cincinnati, OH-KY-IN",2020-05-14,0.80728523660695,0.036691767244446,NA,NA
"Cincinnati, OH-KY-IN",2020-05-15,0.75084699990785,0.03487454060335,NA,NA
"Cincinnati, OH-KY-IN",2020-05-16,0.80847873251892,0.036886004742877,NA,NA
"Cincinnati, OH-KY-IN",2020-05-17,0.77082703141675,0.036360296841093,NA,NA
"Cincinnati, OH-KY-IN",2020-05-18,0.83365597461125,0.039309682149133,NA,NA
"Cincinnati, OH-KY-IN",2020-05-19,0.92487861871716,0.026483787560452,NA,NA
"Cincinnati, OH-KY-IN",2020-05-20,0.83217151059079,0.025488408572739,NA,NA
"Cincinnati, OH-KY-IN",2020-05-21,0.82106664633594,0.023870076849149,NA,NA
"Cincinnati, OH-KY-IN",2020-05-22,0.9351636826608,0.022918125143786,NA,NA
"Cincinnati, OH-KY-IN",2020-05-23,0.82773814612181,0.019143281159314,NA,NA
"Cincinnati, OH-KY-IN",2020-05-24,0.94372443542744,0.021260426453602,NA,NA
"Cincinnati, OH-KY-IN",2020-05-25,1.0343577627895,0.031905483937359,NA,NA
"Cincinnati, OH-KY-IN",2020-05-26,0.89030802060109,0.028157789499049,NA,NA
"Cincinnati, OH-KY-IN",2020-05-27,0.90745856073713,0.016392557584522,NA,NA
"Cincinnati, OH-KY-IN",2020-05-28,0.78732088193069,0.0183421720695,NA,NA
"Cincinnati, OH-KY-IN",2020-05-29,0.86859748104509,0.019714590191607,NA,NA
"Cincinnati, OH-KY-IN",2020-05-30,0.7527252918643,0.020464492798784,NA,NA
